ПАСПОРТ       ;Паспорт гражданина СССР
ЗГПАСПОРТ     ;Загранпаспорт гражданина СССР
СВИД О РОЖД   ;Свидетельство о рождении
УДОСТ ОФИЦЕРА ;Удостоверение личности офицера
СПРАВКА ОБ ОСВ;Справка об освобождении из мест лишения свободы
ПАСПОРТ МОРФЛТ;Паспорт Минморфлота
УДОСТ БЕЖЕНЦА ;Удостоверение беженца в РФ
ДИППАСПОРТ РФ ;Дипломатический паспорт гражданина РФ
ИНПАСПОРТ     ;Иностранный паспорт
СВИД БЕЖЕНЦА  ;Свид.о регистр. ходат. о призн.иммигр. беженцем
ВИД НА ЖИТЕЛЬ ;Вид на жительство
ВРЕМ УДОСТ    ;Временное удостоверение личности гражданина РФ
ПАСПОРТ РОССИИ;Паспорт гражданина России
ЗГПАСПОРТ РФ  ;Загранпаспорт гражданина России
ПАСПОРТ МОРЯКА;Паспорт моряка
ВОЕН БИЛЕТ ОЗ ;Военный билет офицера запаса
ПРОЧЕЕ        ;Иные документы, выдаваемые органами МВД
ВОЕННЫЙ БИЛЕТ ;Военный билет солдата (матроса, сержанта, старшины
УДОСТ ЛИЧ ВОЕН;Удостоверение личности воеенослужащего
УДОСТ ТОЖ ФОТО;Свид.об удостовер.тождественности гражд. с лицом, изображенным на фото
ПАСПОРТГУ     ;Паспорт гражданина Украина
